Timings	Course Name	Class & Program	Room No.	UMS ClassNo.	Teacher
	Pakistan History	BSCS-4	MAC-4	98354	Dr. Jaffar Ahmed
	Pakistan History	BSCS-4	MAS-2	98668	Dr. Moiz Khan
	Introduction to Artificial Intelligence	BSCS-4	MTC-20	98355	Dr. Syed Ali Raza
	Computer Communication and Networking (Lecture)	BSCS-4	MTC-26	98403	Mr. M.Waseem Arain
	Theory of Automata (2 combined sessions)	BSCS-4	MTS 6	"98393
98396"	Dr. Shahid Hussain 
	Computer Communication and Networking (Lecture)	BSCS-4	MTL-4	98657	"
Ms. Tasbiha Fatima"
	"Computer Communication and Networking (Lab) Only Monday (For Class # 98657)
11:30 am to 2:15 pm
Computer Communication and Networking (Lab) Only Wednesday (For class # 98403)
11:30 am to 2:15 pm"	BSCS-4	MCL-3	"98657
98403"	"Ms. Tasbiha Fatima
Mr. M. Waseem Arain"
	"Computer Architecture and Assembly Language (Lab) Only Monday (For Class # 98472) 
1:00 to 3:45 pm 
Computer Architecture and Assembly Language (Lab) Only Wednesday (For Class # 98504)
1:00 to 3:45 pm "	BSCS-4	MCL-1	"98472
98504"	"
Ms. Asma Tauqeer
Ms. Mehwish Zafar "
	"Computer Communication and Networking (Lab) Only Monday (For Class # 98657)
11:30 am to 2:15 pm
Computer Communication and Networking (Lab) Only Wednesday (For class # 98403)
11:30 am to 2:15 pm"	BSCS-4	MCL-3	"98657
98403"	"Ms.Tasbiha Fatima
Mr. M. Waseem Arain"
	Computer Communication and Networking (Lecture)	BSCS-4	MTC-23	98443	Mr. M. Waseem Arian
	Theory of Automata	BSCS-4	MAS-2	98445	Dr. Imran Rauf
