Timings	Course Name	Class & Program	Room No.	UMS ClassNo.	Teacher
	Computer Architecture and Assembly Language (Lab) Only Tuesday 8:30 to11:15 am	BSCS-4	MTL-4	98503	Ms. Asma Tauqeer
	Introduction to Artificial Intelligence	BSCS-4	MTC-20A	98464	Ms. Sumaira Saeed
	Computer Communication and Networking (Lecture)	BSCS-4	MTC-26	98470	Mr. M. Waseem Arain
	Computer Communication and Networking (Lecture)	BSCS-4	MTC-28	98471	Ms.Tasbiha Fatima
	Computer Architecture and Assembly Language (2 Merge Sessions) 	BSCS-4	MTS 6	"98472
98496"	Dr. Salman Zafar 
	Computer Architecture and Assembly Language (Lab) Only Tuesday 8:30 to11:15 am	BSCS-4	MTL-4	98503	Ms. Asma Tauqeer
	Introduction to Artificial Intelligence	BSCS-4	MTC-20	98493	Dr. Syed Ali Raza
	Computer Architecture and Assembly Language (2 Merge Sessions)	BSCS-4	MTS 7	"98503
98504"	Dr. Salman Zafar 
	"Computer Communication and Networking (Lab) Only Tuesday 
11:30 am to 2:15 pm
"	BSCS-4	MTL-4	98470	Mr. M. Waseem Arain
	"Computer Architecture and Assembly Language (Lab) Only Tuesday 1:00 to 3:45 pm 
"	BSCS-4	MCL-3	98496	Ms. Mewish Zafar 
	Introduction to Artificial Intelligence	BSCS-4	MTC-19	98505	Dr.Tahir Syed 
	"
Computer Communication and Networking (Lab) Only Tuesday 
11:30 am to 2:15 pm"	BSCS-4	MTL-4	98470	"
Mr. M. Waseem Arain"
	Introduction to Artificial Intelligence	BSCS-4	MTC-20	98512	Dr.Tahir Syed
	Computer Architecture and Assembly Language	BSCS-4	MTL-4	98473	Dr. Salman Zafar 
